Category,Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Afro,04caQq1IeChrnBnvch1FQf,Lonely At The Top - Remix,0.718,0.749,6.0,-7.349,0.0,0.0587,0.787,0.000258,0.182,0.908,105.086
Afro,4CljUDO1I5hpKjwSNK6RWY,Water - Remix,0.739,0.749,6.0,-3.318,1.0,0.0746,0.12,0.0,0.149,0.505,117.03
Afro,4xy8o1WzpHwEEg0IOiU7rJ,soso (with Ozuna),0.739,0.669,3.0,-7.557,0.0,0.119,0.426,0.00474,0.11,0.609,104.971
Afro,7knLcYCOSaURD0d7HUULFM,COMO UN BEBÉ,0.825,0.807,6.0,-5.753,1.0,0.0949,0.0732,4.79e-06,0.138,0.816,103.053
Afro,1rrqJ9QkOBYJlsZgqqwxgB,Rush,0.792,0.503,1.0,-8.044,1.0,0.0626,0.0369,0.00057,0.0959,0.381,99.97
Afro,7wQ3PHT0oNWwjPuTZ2z7cS,Chan Chan,0.519,0.738,5.0,-4.498,1.0,0.0319,0.00361,0.0038,0.0876,0.443,148.801
Afro,2eqLgrPkcSTgCvxEtsymiz,Porque Yo,0.751,0.815,9.0,-6.996,0.0,0.102,0.345,0.0271,0.136,0.52,93.984
Afro,6WXfOiRWXLAPjWGkExCaUj,Menta,0.764,0.661,5.0,-6.348,0.0,0.0941,0.538,0.000103,0.094,0.681,100.027
Afro,0dAZ5dCofHy6rquqU6YG29,Como Antes,0.574,0.776,2.0,-5.288,0.0,0.0491,0.392,0.000191,0.211,0.516,171.932
Afro,5o9k5OSBM4sAY2bMekl8a8,A Nossa Vez,0.737,0.635,10.0,-6.781,1.0,0.0399,0.466,0.0,0.0718,0.716,103.457
Afro,23bemRVqcUNl1ujD87upis,O Nosso Amor,0.54,0.568,1.0,-9.788,0.0,0.147,0.641,7.83e-06,0.15,0.408,89.681
Afro,4ZaJIFetJil7VcxS6v4acb,Cabo Verde,0.512,0.532,4.0,-8.732,0.0,0.0986,0.365,0.0,0.111,0.627,99.094
Afro,5J4FiKDJIdJ8AKx2gaWMt4,Your Number,0.588,0.61,9.0,-5.008,0.0,0.234,0.534,0.0,0.303,0.645,99.926
Afro,2EahSgwzCKSvJMM2BOzDDu,Pakurumo,0.882,0.736,2.0,-5.466,1.0,0.0439,0.525,0.00482,0.269,0.965,119.995
Afro,1agLiWjSBYSTsKZLudOunC,Shake Body,0.853,0.869,6.0,-4.16,1.0,0.0666,0.189,2.02e-05,0.0498,0.961,131.005
Afro,2kaH2Z8ezDUKf6fNw250rZ,UNAVAILABLE (feat. Musa Keys),0.788,0.649,2.0,-9.674,1.0,0.0532,0.253,0.0136,0.12,0.229,113.009
Afro,0nfnCp3NNcUjksmxd5xqEG,Eva Longoria,0.615,0.676,7.0,-6.235,0.0,0.148,0.163,0.00492,0.0976,0.566,196.076
Afro,6McBvfxgkVfREmQPwTKBUn,Electricity,0.823,0.717,9.0,-3.879,1.0,0.0704,0.0356,0.0,0.102,0.489,110.998
Afro,6sCvvleqKbeyOkQDieBYgp,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,0.247,0.299,9.0,-6.083,1.0,0.0315,0.899,0.0,0.131,0.172,177.115
Afro,0AoBY2Y3qs6dtGgOD6c91N,Alone,0.6,0.659,4.0,-7.264,0.0,0.0542,0.176,0.0,0.111,0.307,89.955
Afro,5o77o7nTrQL1mWAyrvVMNI,Coming Back For You,0.42,0.436,7.0,-8.025,1.0,0.0449,0.00814,0.0,0.128,0.242,100.274
Afro,18zQTt3ifDv6iLni2YuXMg,Born Again,0.465,0.26,0.0,-8.179,0.0,0.031,0.475,0.0,0.138,0.259,116.642
Afro,1kwnjlPHIkwfFUFXUJcmj3,Sweet Nothings - Original Mix,0.643,0.793,3.0,-7.609,0.0,0.134,0.156,0.0,0.13,0.514,113.991
