id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genres
2z9YkcLojiOE7Eu2p9lPZR,Normal,0.0397,0.712,0.557,0.0,4,0.27,-4.861,0,0.115,170.079,0.594,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
6ipzb1kHhWIxp1tS0vwqPl,Ferxxo 100,0.252,0.701,0.568,0.0,8,0.153,-3.389,0,0.067,164.062,0.577,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
4srcMdbm2qzVG98tJajHxp,Pantysito,0.136,0.83,0.739,2.11e-06,7,0.162,-5.395,0,0.0627,97.993,0.631,"['reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'urbano latino']"
1m69ELEgE6k5ZWsap40ozt,Se Preparó,0.222,0.739,0.821,9.6e-06,1,0.311,-4.233,1,0.0852,171.077,0.693,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
5EId1m4DNwTf3at31w8bPJ,El Farsante,0.2,0.735,0.703,0.0,6,0.259,-4.249,1,0.0611,120.007,0.323,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
0ulsRBiciReng91DhfVT9D,Bebé,0.579,0.72,0.82,0.000171,9,0.18,-5.821,1,0.113,169.758,0.533,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
48zFZh27QU5qsrBjn4C2FA,Vaina Loca,0.315,0.754,0.805,0.0,6,0.203,-4.249,1,0.0752,93.982,0.555,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
5uvucCRBTkxv7VxIDLOqe7,Devuelveme,0.554,0.744,0.769,6.96e-06,11,0.102,-4.112,1,0.156,175.999,0.784,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
1h9P5WJwyvK8OB7O2YiXgp,Ibiza,0.25,0.69,0.71,0.0,5,0.108,-5.144,1,0.335,192.068,0.726,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
5Sv1rKKMX1yl9kfJ2HTluk,Unica - Remix,0.121,0.637,0.868,0.0,9,0.533,-3.19,0,0.0571,174.105,0.682,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino', 'reggaeton', 'urbano latino', 'latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
