id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genres
3BFh8rR6aMexy7ELu2UQy3,Manos Rotas,0.386,0.728,0.59,0.0612,4,0.162,-5.787,0,0.204,93.977,0.238,"['flamenco urbano', 'urbano espanol', 'drill espanol', 'urbano espanol']"
0qZhK4gFB5c1Wxsnd6WA8U,Casanova,0.675,0.668,0.807,2.06e-05,7,0.0995,-6.147,0,0.186,132.087,0.544,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap algerien', 'latin viral pop', 'spanish pop', 'drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino']"
7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,0.372,0.8,0.738,0.00877,7,0.19,-4.26,1,0.0691,103.008,0.267,"['reggaeton', 'trap latino', 'urbano latino']"
2HafqoJbgXdtjwCOvNEF14,Si No Estás,0.827,0.537,0.421,0.0,5,0.138,-8.72,1,0.0285,98.224,0.524,[]
6XbtvPmIpyCbjuT0e8cQtp,Columbia,0.369,0.668,0.712,2.13e-05,5,0.108,-5.927,1,0.0381,100.02,0.264,"['rap canario', 'trap latino', 'urbano latino']"
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,0.0887,0.911,0.778,2.16e-05,5,0.179,-2.248,1,0.262,96.057,0.345,"['reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
7bywjHOc0wSjGGbj04XbVi,LUNA,0.131,0.774,0.86,0.0,7,0.116,-2.888,0,0.13,100.019,0.446,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
2kz1YOhJiNubjigR1gB1VX,DILUVIO,0.343,0.845,0.795,1.78e-05,9,0.224,-3.502,0,0.0681,94.969,0.681,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
5xSt1wxZobFcLzHrFakv6z,COSAS QUE NO TE DIJE,0.563,0.616,0.673,0.0,2,0.122,-3.948,1,0.0327,99.971,0.21,"['trap latino', 'urbano espanol', 'urbano latino']"
3tPPP39TSamzLPOJomKALp,NO PIENSO LLAMAR,0.181,0.679,0.556,0.0,10,0.108,-5.299,1,0.148,169.997,0.583,"['rap conciencia', 'spanish hip hop', 'rap canario', 'trap latino', 'urbano latino']"
559YUIWxUc8Mx4lsla13Ff,MODELITO,0.191,0.711,0.752,0.0106,7,0.338,-7.574,0,0.2,145.047,0.528,"['trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
0QRHOAeU8JRaVVn3UoZBih,REINA,0.632,0.724,0.578,1.06e-06,10,0.0943,-7.117,1,0.0819,167.985,0.757,"['trap latino', 'urbano latino', 'trap latino', 'urbano espanol', 'urbano latino']"
6gMj2DzKR2PjrrbNSwcGFR,OA,0.17,0.813,0.866,0.0,7,0.0421,-3.239,1,0.0851,99.994,0.647,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino', 'rap canario', 'trap latino', 'urbano latino', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
3CqTTiYyJRJNmuxZcww8BP,lady madrizZz,0.489,0.768,0.295,0.000358,5,0.0993,-10.467,1,0.0735,98.084,0.791,[]
7ABLbnD53cQK00mhcaOUVG,LALA,0.0739,0.708,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,0.607,"['reggaeton', 'trap latino', 'urbano latino']"
4sDpxaulErbJ9NBaJDC7cJ,Buenas,0.247,0.625,0.755,0.0,8,0.124,-4.643,1,0.0724,87.948,0.429,"['rap canario', 'trap latino', 'urbano latino', 'trap latino', 'urbano espanol', 'urbano latino']"
5RqSsdzTNPX1uzkmlHCFvK,QLONA,0.52,0.841,0.738,0.0,7,0.0892,-7.455,0,0.307,169.918,0.484,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'corridos tumbados', 'sad sierreno']"
0EhuGnOS6fTc5l5UNtDEH2,POLARIS - Remix,0.153,0.623,0.799,0.0,8,0.365,-4.152,0,0.0713,169.901,0.552,"['trap latino', 'urbano espanol', 'urbano latino', 'rap canario', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
0p0cOpBujR114Wirv5AM7W,Narcotics (with Bryant Myers),0.379,0.711,0.718,0.0,1,0.119,-5.671,1,0.0994,159.953,0.689,"['trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
6KHxe3Yj8W8oq3zviUvJRe,Madrid City,0.0272,0.73,0.87,2.9e-06,1,0.45,-3.718,0,0.0561,132.011,0.184,['spanish pop']
18W8cuvcub2B9NQzm5rZxf,A 300,0.0927,0.792,0.725,0.0,1,0.0702,-5.821,0,0.171,138.867,0.68,[]
6irysuQyZWd7Bjj7ePiOs2,Holanda,0.277,0.831,0.759,0.0,1,0.125,-3.627,0,0.0502,107.961,0.244,"['reggaeton', 'trap latino', 'urbano latino']"
21N77gfWYoQDvrLvaeiQgi,BABY HELLO,0.164,0.773,0.893,3.01e-06,1,0.429,-3.733,0,0.0483,130.013,0.842,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino', 'argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
1YnChEM51BVZ5dRhbVFEMl,SEDA,0.268,0.706,0.566,1.02e-06,6,0.111,-6.441,0,0.126,125.876,0.23,"['reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
6JI15EdgbGuhUjm4tWyIco,SEYA,0.219,0.798,0.681,0.00197,10,0.137,-4.818,0,0.0722,101.005,0.434,"['french hip hop', 'french pop', 'r&b francais', 'rap conscient', 'drill espanol', 'urbano espanol']"
5nSUskJwcSRFS9dIqrVfrv,Quien Es Dei V?,0.481,0.557,0.744,0.0,1,0.666,-4.18,1,0.344,100.247,0.7,"['trap latino', 'urbano latino']"
1Hs1uUl8o2VtDp1DABFq0O,Los del Espacio,0.107,0.813,0.682,0.0,0,0.108,-3.598,1,0.0402,120.011,0.634,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino', 'trap argentino', 'trap latino', 'urbano latino', 'pop argentino', 'argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino', 'pop argentino', 'trap argentino', 'trap triste', 'trap argentino', 'trap argentino', 'trap triste']"
0goXAEnjWhssHU0y9Zyqyf,LUCES DE TECNO,0.142,0.643,0.651,0.0,7,0.103,-6.738,0,0.601,130.019,0.324,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
3cDyocF0Ibdfs1SFQk5cLZ,Lollipop,0.179,0.822,0.711,1.46e-05,6,0.083,-4.943,1,0.0668,102.984,0.934,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
3WQhuJnlOTV9RiDZx2tDFF,QUIZÁS SI QUIZÁS NO,0.0556,0.654,0.767,0.00118,5,0.305,-5.061,0,0.048,173.933,0.615,"['trap boricua', 'urbano latino', 'rap canario', 'trap latino', 'urbano latino']"
51QmqegeWI2orK2mzDfnIH,El Mambo,0.0406,0.884,0.718,4.69e-05,1,0.287,-4.976,0,0.0763,139.991,0.729,"['electro bailando', 'electro latino']"
0sfk352FO8bJUjWjIsyzSR,DONDE SE APRENDE A QUERER?,0.555,0.722,0.519,0.0,8,0.118,-10.142,1,0.297,170.058,0.779,"['trap latino', 'urbano latino']"
6Es8Sk3xe1HiJ2MXCfHHwR,La_Original.mp3,0.0836,0.833,0.809,0.0,5,0.112,-2.751,0,0.0381,128.055,0.905,"['pop argentino', 'latin pop', 'latin viral pop', 'pop argentino']"
3tt9i3Hhzq84dPS8H7iSiJ,La Bachata,0.583,0.835,0.679,1.98e-06,7,0.218,-5.329,0,0.0364,124.98,0.85,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
7hjHRDKZTcccrN8P3udrzP,Sofi - Remix,0.0193,0.734,0.799,0.0,0,0.326,-5.131,1,0.096,99.957,0.362,"['flamenco urbano', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
1MB8kTH7VKvAMfL9SHgJmG,VAGABUNDO,0.0351,0.817,0.851,0.0,11,0.232,-3.309,0,0.0627,127.019,0.886,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino', 'colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
5iilNoD56jD3FJ3bM9tMP0,Arena y Sal,0.598,0.722,0.782,0.00165,5,0.124,-5.963,0,0.0524,117.996,0.762,"['flamenco urbano', 'pop flamenco', 'urbano espanol', 'trap latino', 'urbano espanol', 'urbano latino']"
4PA1wK0leCjmRZlP5dQ8Lv,El Cielo,0.0687,0.715,0.642,0.0,10,0.0997,-7.492,0,0.0515,105.964,0.169,"['urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'reggaeton', 'trap latino', 'urbano latino']"
4MjDJD8cW7iVeWInc2Bdyj,MONACO,0.15,0.787,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,0.13,"['reggaeton', 'trap latino', 'urbano latino']"
5KbBVSj6AJZ5662fO8EYFh,El Merengue,0.0895,0.777,0.774,0.000401,8,0.0909,-3.079,0,0.0553,123.982,0.661,"['brostep', 'edm', 'pop', 'progressive electro house', 'colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
4rKQ8daoK0aklVptea8A9E,EL TONTO,0.406,0.801,0.801,0.0,0,0.134,-5.369,1,0.1,110.029,0.663,"['latin viral pop', 'spanish pop', 'rap canario', 'trap latino', 'urbano latino']"
5hyKw9bjqXCcIxAoDmAxMJ,No Estuviste En Lo Malo - REMIX,0.667,0.724,0.537,0.000122,4,0.109,-8.955,0,0.0703,125.142,0.219,"['drill espanol', 'urbano espanol', 'drill espanol', 'flamenco urbano', 'urbano espanol']"
5NxgenNnK2EXDfzkO8oKqt,Antidepresivos,0.324,0.72,0.613,0.0,10,0.287,-4.522,0,0.0367,103.942,0.724,"['trap latino', 'urbano espanol', 'urbano latino']"
0TkIQ2I48rz4kpk1XpfyHq,Mi Luz (ft. Rels B),0.509,0.705,0.526,0.000106,6,0.0742,-6.359,1,0.327,200.031,0.671,"['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino', 'r&b en espanol', 'spanish hip hop', 'trap latino', 'urbano espanol', 'urbano latino']"
1hZsWUnLbqRw09jLAMQSsb,CLASSY 101,0.126,0.858,0.665,0.0,11,0.119,-4.772,1,0.152,100.09,0.659,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
4WiQA1AGWHFvaxBU6bHghs,PUNTO G,0.251,0.751,0.761,0.000238,11,0.0991,-4.113,0,0.15,92.032,0.553,"['rap canario', 'trap latino', 'urbano latino']"
2df5CkXBJO7jTGXm54dFJy,No_Se_Ve.mp3,0.0892,0.765,0.659,3.83e-05,11,0.149,-5.059,0,0.0825,132.066,0.567,"['pop argentino', 'funk carioca', 'funk pop', 'funk rj', 'pagode baiano', 'pop nacional']"
0zY2rypOdM8xmsf4tUyafF,Supernova,0.256,0.725,0.743,0.0,10,0.0934,-4.185,0,0.148,87.979,0.542,"['trap latino', 'urbano espanol', 'urbano latino']"
7MVIfkyzuUmQ716j8U7yGR,Rara Vez,0.176,0.838,0.708,0.0,5,0.343,-4.668,0,0.166,119.984,0.96,"['trap argentino', 'trap argentino', 'trap latino']"
3LzAFrnO7CxaeBgtQhHsAP,Corazón Roto pt. 3,0.363,0.841,0.741,2.37e-06,1,0.0987,-4.89,0,0.048,92.988,0.849,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'reggaeton', 'trap latino', 'urbano latino', 'reggaeton', 'trap colombiano', 'trap latino', 'urbano latino']"
