Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category
4dlKI5gufUHE2cLwwNuhmc,Ya Es Tarde,0.664,0.742,7,-7.241,0,0.218,0.145,1.28e-06,0.0428,0.67,91.108,Instrumental
6eKxlS1SsRYyzeN2Dbdek4,Justo Cuando El Mundo Apriete,0.554,0.63,5,-6.097,1,0.0372,0.00982,6.21e-05,0.0656,0.285,127.988,Instrumental
226QoQqaAhCQun0LzpFlQE,pa que me cantes en el coche,0.446,0.71,8,-5.627,1,0.0937,0.632,0.0,0.0813,0.814,96.255,Instrumental
3ehHqgYRzmeUi345MfHS2N,París,0.582,0.804,11,-4.155,1,0.0389,0.0493,0.0,0.0624,0.732,138.014,Instrumental
6SYTvKfpOPtX761go3K130,Locos de atar,0.629,0.605,4,-6.618,1,0.0258,0.00788,0.000697,0.121,0.306,88.982,Instrumental
43Ew5Q7DZ74TTURu6YvG5J,Mercenaria,0.558,0.608,9,-8.92,1,0.0467,0.571,1.53e-05,0.195,0.504,179.952,Instrumental
5CC0Owmo0JVpClgvSqy17o,180 Grados,0.672,0.839,7,-5.292,1,0.0277,0.0606,3.99e-05,0.112,0.603,126.97,Instrumental
1OzXgYzPRco0NvqcDEnCRG,Barquito de Vela,0.629,0.777,1,-4.66,0,0.0805,0.31,0.000426,0.244,0.842,90.02,Instrumental
0MN2EfM4BDyFaLgSWbf1Fq,Matar la Pena,0.704,0.684,7,-7.05,1,0.0602,0.161,0.0,0.464,0.695,145.018,Instrumental
3qpehbAq7mou7swVztdAi9,Enamorado en el Metro,0.75,0.669,8,-8.861,1,0.058,0.173,0.0,0.153,0.823,86.997,Instrumental
2T3jgoAMbBXiMMD8pSc6QL,This Is The Life,0.628,0.882,1,-5.024,0,0.0323,0.259,0.0,0.065,0.853,95.083,Instrumental
5zrBc0SgOkkzHzWN0GCDfz,Partner In Crime,0.861,0.519,9,-9.578,0,0.0844,0.0765,0.00142,0.102,0.579,115.025,Afro
3HzMxBV957tidhL2ft7KXA,"Hair Toss, Arms Crossed",0.72,0.49,6,-6.131,1,0.0477,0.597,0.0,0.0827,0.607,108.88,Instrumental
1shKa7wLElW8CrbHOJk85M,10 Things I Hate About You,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967,Instrumental
209UsQMjapE5MK3phwbUxw,Aurora,0.779,0.37,6,-10.866,0,0.0577,0.132,0.00034,0.0883,0.515,88.002,Afro
0ECx1tOxvuJi9NYFwYazAl,Fumando Serio,0.752,0.525,7,-6.297,0,0.0599,0.108,0.0,0.346,0.638,94.984,Afro
2mJWbE4BwyEXClrduYw9Np,Tirar de Espaldas,0.637,0.369,11,-15.269,1,0.0508,0.895,3.57e-05,0.11,0.389,130.078,Instrumental
1kjHo0Wfv6yZsmMw73l3ct,Qué Más Da,0.69,0.454,0,-9.402,1,0.0374,0.347,1.24e-05,0.142,0.406,95.014,Instrumental
1243ied2LX4Pz4w9Ktbm15,Lo Real - Remix,0.58,0.704,7,-9.097,0,0.0606,0.854,5.19e-06,0.257,0.753,99.673,Instrumental
4W3z0jlvHobe740IG2XaFt,What About Us,0.535,0.414,8,-2.259,1,0.0346,0.802,0.0,0.106,0.221,76.784,Instrumental
6IGA5YrFiEr5ANrMqKkR6H,Good Grief,0.73,0.758,1,-4.888,1,0.0653,0.147,0.0,0.311,0.877,120.041,Instrumental
3d3n9XvxajBXWP1h6adV6a,Your Song Saved My Life - From Sing 2,0.515,0.674,5,-5.25,1,0.0253,0.318,0.0,0.0865,0.371,91.985,Instrumental
3pUWV5hvXsI9diJ9TeNeCh,Walk On,0.528,0.832,2,-6.461,1,0.0265,0.00379,0.00042,0.153,0.633,100.158,Instrumental
7ndGFo9nZ108KPgXtfYWCe,Sweetest Thing,0.524,0.641,0,-8.967,1,0.0497,0.0437,2.78e-05,0.159,0.482,141.65,Instrumental
6u38x61qv7JBIJD4dqztmm,Magnificent,0.529,0.715,6,-6.065,0,0.0348,0.00012,0.497,0.112,0.592,114.973,Instrumental
0cT58NmhKlRz9jesc5Xzzx,Stranger Things,0.58,0.456,2,-6.203,1,0.0324,0.671,0.0,0.0729,0.358,78.949,Instrumental
6XtOM0xVBmhjX8mRkrWo9z,Flecha,0.79,0.698,1,-5.332,0,0.0353,0.125,2.32e-05,0.0721,0.874,119.033,Instrumental
4Huf56u4fIIcQwZb9RSe4A,Silencio,0.696,0.75,7,-9.977,0,0.221,0.449,0.0,0.0906,0.86,95.006,Instrumental
4xHWH1jwV5j4mBYRhxPbwZ,Time - 2011 Remastered Version,0.355,0.447,9,-13.631,1,0.0894,0.453,0.00225,0.163,0.369,122.473,Instrumental
0mdIIgjVubCqYTBdCpP5k9,Waiting,0.783,0.465,4,-7.335,0,0.0471,0.344,0.0,0.0875,0.48,138.038,Instrumental
3IQF4xCQUPicbA4hWfTxPo,I Lived,0.593,0.851,9,-5.456,1,0.0446,0.0683,0.0,0.271,0.344,119.987,Instrumental
0sBJA2OCEECMs0HsdIQhvR,West Coast,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057,Instrumental
6tDxrq4FxEL2q15y37tXT9,Dear Mama,0.773,0.54,6,-7.123,1,0.103,0.371,0.0,0.131,0.322,84.115,Instrumental
2bLlZN7bPzdK2Adwowq3Wx,Po Nigga Blues - Scott Storch Remix (Explicit),0.92,0.692,5,-6.003,1,0.264,0.161,0.0,0.12,0.794,98.213,Instrumental
5e7ldn9Kwo8Aw9Z8ql9cDj,All Eyez On Me (ft. Big Syke),0.873,0.719,1,-5.948,1,0.248,0.03,0.0,0.333,0.858,93.281,Instrumental
3M34Zss02hyItmoJaUwx3P,Culpable,0.728,0.665,1,-9.973,1,0.384,0.354,0.0,0.0841,0.112,92.092,Instrumental
4amsnGDLwgcX5jWCrnIhwI,En el Fondo del Vaso,0.595,0.524,7,-10.087,0,0.0347,0.473,5.32e-05,0.125,0.487,119.139,Instrumental
47m3W9QAC0umkua53L7bsE,En Carne Viva,0.756,0.697,0,-5.262,1,0.0915,0.0283,4.34e-06,0.158,0.401,145.076,Instrumental
7jcA9ZBd90CpBpTwCnYf1c,De la Noche,0.355,0.895,11,-6.997,0,0.119,0.091,0.000138,0.0559,0.559,97.949,Instrumental
7s5iJdE6dqLMQpRVlxCFln,Lo Que Rompen Mis Palabras,0.549,0.486,11,-10.368,0,0.0526,0.42,7.43e-05,0.0871,0.0578,92.022,Instrumental
5mgZI4gw6UFLYtags9mCGA,Sed de Fuego,0.693,0.39,2,-9.952,0,0.0413,0.807,0.00108,0.118,0.2,95.03,Instrumental
5KIcniDeh4Yp8ZZtBUrHfW,Del Recuerdo,0.568,0.802,0,-7.286,1,0.0861,0.27,0.0189,0.772,0.48,100.051,Instrumental
3a47KZhFFtbVgHWHMaRCXL,Los Últimos Noctámbulos,0.665,0.654,2,-5.975,0,0.12,0.189,0.0,0.146,0.0981,87.938,Instrumental
2Ek2iFmqAzbbG8Gv7DOnde,La Primera Persona del Plural,0.797,0.677,9,-9.132,0,0.0794,0.484,3.9e-05,0.244,0.533,94.98,Instrumental
5CFH3S8efCh0AaqnxOtZZz,Parar el Tren,0.613,0.461,8,-13.293,0,0.197,0.774,6.51e-06,0.101,0.35,125.533,Instrumental
