Playlist Name,Playlist ID
10K,5kOvVYUFHvDaCKv7j6CwPy
5/9,2mSm3GtKGKUQr0gPwTr2sp
R&R ?,47wEXSISsMfpOajfJsNYQU
Ola,2gCSDHTUKyiNJpg3VK9DQy
My Playlist #64,2PiZqpnMQKv6gPsZE1L6yr
My Playlist #63,2pHCU4cguk4xaJ9zWtdeks
Cuaresma’23,12oZyjyxk9UEl9qJDi3EyF
SoundHound,2fmWPxB26KEaiwzkcw6Uq2
al pantanooo,4KVYkTdIlHiNYEBeVyzZBA
My Playlist #58,4Kls0I1EFAGOs9HXkNJrgI
retro,2w6RDh3tTWeblNlzxKP36C
"one republic, the script …",22YX3twH3RSikyhFaeaHy8
one republic,3IY48KGpDlYApzlDaQKZ0L
just because,1er74y8xqGtcHvMWSDyn13
canciones suaves pero con fuerza,44eWuqioG4VL7IWohZsJPP
ju,2zZ650J3B4KjR5QPEBuDBp
🫀,5vV8FAkYSFbxP6Yt8RoDzz
cositas d xmas,7DXwLsgb3vuzuglM8T87uX
coche ahora,6GKVb7RxurVBcxpOIE6KU8
pelis,0L76YHgIQXw6DuUM4CzlZ2
no puedo más ,0crDVjkQMY81v4d4nkOsws
songs that will never die,0Z4DdxfWl4Z2G6PaF7Z2oV
My Playlist #43,6abEZMCCqK7F3DG4IUh4dA
"garfio, sosad, etc",4fhTZYQ438Kgg3fn0CWjCY
:),3fsO59FA4DnjvZA4GUdxPN
flamenkito chill,7t3cJK45VWY89sCOWcZkDK
felicidad,5y4vxc1uX3jAvqRkDlmDHb
vibing con WolfGANG and co.,1KHeECmjAQS9Aa7wYgWIwZ
when he smiles at you,4wE05cZ7JpzWnlZkuIq5gd
"indie y rock español: Vetusta morla, Izal, Supersubmarina, Sabina, Second, Depedro...",36ThEdNl9HYehwW8u8QJux
crying in bed :),5sJ1XL9s8onK5ZpZyAwllE
movies ,60NbrgHitKPli7h3K6KWRr
yunno da vibesss ,3WVW0PbWQlI6cDLVA0MXeK
feelingBlue,1NjdAc473Oj1aBSRUZNEcQ
dad’s classics ,0ZNecOhBZ67wfdsmDbAqVS
bas!c b!tch,0BfY7Dr1OjSgH2yh0I3wW7
good old dayz ,1zl0hnL97o7aR6OCVoYfNs
RythmAndPoetry,7kbaLcT3CKZoTTgzlsuFh4
decade,4uITjrfNLJxLIGBXjABYYS
long walks at 8pm,1x9tD93e9ATCJ6fBajclzI
sunset,2a0cAHwpOQ1cyjqQhDNRNv
