Album Name,Album ID
Un Día en el Mundo,7ozOQXEfKskKDTtDpmTnuh
UNO,1KgKemleH5GeTmcUA7U9ka
All The Love That I Ever Needed,34BrXx8f02Z6dbHuwGZr5z
Pasión,5tCU0TW8CHLkqh3U8CvQtz
Más cerca el cielo,2HXuePyDuefWgOOYFl7VMN
Pequeños Grandes Éxitos,3nxQVsrCzLiXKmZdzdTFXY
Todo está bien,2VoBah2UoJNcI5hpTl1S3X
La Casita Sobre la Roca (Banda Sonora Original de la Serie),1cLIICBPoYu7AnWX15f2dd
Bailando Hasta el Apagón (Directo Estadio Metropolitano),2BqBFdAwEmtqQjzpWGCfCz
En la parte de atrás de un taxi,1LJ004JxIn9xXvtoPCnsRE
Soñadores,2aLHYJGVq6cigNbv3IKmXd
Agosto21(CB),18ZU3gi4Lp1EBpO4bhr8p4
Escapismos Cotidianos,2z369DJPG20WRdkR0CRVKy
Directo Sonorama 2014 (En Directo),2pJUQOIAoPr3X5sNuskiAU
VIVO (En Directo),0TezaumYlvkXO0y73kO6hz
Blancauvas,7ChKVOWa9fZw1TrwRS5yeH
Certified Lover Boy,3SpBlxme9WbeQdI9kx7KAV
Pronto pero lento,1V8dKIxEQvcoZGn1xYEonF
If I Could,2GHzErUZ9VAH8wMyKPf9YF
Sencillamente,6cRwQYffkjY4Y8Zb1jZFj0
