Track_ID,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category
68PEuXNjodWFts3Ph4BPVv,Exoplaneta,0.452,0.721,7,-6.132,1,0.031,0.0215,0.000603,0.109,0.183,85.988,Instrumental
5zZP6IPAJPiVziwEgHGacL,a ella la llevas a paris,0.564,0.798,1,-4.004,1,0.0492,0.65,0.0,0.318,0.606,144.953,Instrumental
28cN5fxRkyri38B7vYA6rp,PALANTE,0.541,0.925,9,-5.708,1,0.0348,0.0506,0.0,0.39,0.881,159.908,Instrumental
6JPGgqIeR3ik9PCXcXvDBX,RUMBO FIJO,0.79,0.695,0,-6.168,1,0.0754,0.106,0.0,0.189,0.222,93.975,Instrumental
1btqNfmvNJb24aWwmQCYZB,Olvídala,0.657,0.495,11,-10.052,1,0.124,0.723,0.0,0.0846,0.81,148.093,Instrumental
52T4reGBKaHkDkTNt9YEGo,fuimos amigos,0.503,0.336,9,-6.977,1,0.0284,0.663,0.0,0.269,0.222,79.833,Instrumental
4KToUv36FRisFmV1INpvBV,El contorno de tus miedos - Directo Circo Price Madrid,0.529,0.832,6,-6.981,0,0.0324,0.000697,0.016,0.485,0.524,121.144,Instrumental
55ILPZDQsRgvySANO73P6v,Silencio Honrado,0.732,0.504,4,-9.565,0,0.334,0.222,0.0,0.31,0.157,93.033,Instrumental
6ju55V6qat6G1DIPn0yszc,Mala Gente,0.723,0.781,9,-5.242,1,0.0945,0.142,0.0,0.386,0.842,104.861,Instrumental
4FFTxx8TWhkifmhMckSQSK,Donde Están,0.819,0.707,11,-4.266,0,0.287,0.167,0.0,0.178,0.552,118.109,Instrumental
6DQimuwDGDY4xn5VcbFkyF,Tantas Veces,0.841,0.48,6,-9.009,0,0.316,0.718,0.0203,0.113,0.737,102.912,Instrumental
50yNpzURQZ4JjQSwh1gj8F,Aquí nos quedamos,0.693,0.635,11,-9.222,0,0.102,0.602,0.0,0.106,0.684,110.103,Instrumental
0G9amu1tarexkwzT7o9npG,Bagheera Freestyle,0.645,0.843,4,-6.907,0,0.0455,0.00853,0.0162,0.384,0.187,99.987,Instrumental
0txzIz1WcoAn6m07xypcD5,La Salvación,0.505,0.688,11,-5.556,1,0.0333,0.0264,0.000534,0.107,0.308,159.913,Instrumental
3A92gdzkl64FX8puP7zbCD,Toi et moi,0.698,0.528,6,-10.991,0,0.0612,0.731,1.32e-06,0.0929,0.43,130.181,Instrumental
1znF9tzMTrWgrdGnJntULS,Flor de la Mancha,0.714,0.77,7,-4.792,0,0.0414,0.0369,0.0,0.0923,0.38,120.035,Instrumental
424DkevE18QJazwlljiTD4,Le Monde - From Talk to Me,0.763,0.468,11,-13.288,0,0.129,0.146,0.869,0.108,0.512,97.599,Instrumental
